type,group,variant_id,title,hypothesis,total_return_pct,annualized_return_pct,max_drawdown_pct,trade_count,open_count,add_count,reduce_count,exit_count,replacement_frequency,final_asset,total_execution_cost,daily_loop_sec,scoring_sec,allocation_execution_sec
single_factor,动量权重组,G1_A,短动量加强,提高 5 日和 10 日动量权重，观察 4000 小资金是否更容易出现可执行信号。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,33.0986,4.2082,26.9635
single_factor,动量权重组,G1_B,主趋势加强,提高 20 日动量权重，观察更稳的主趋势锚是否减少无效切换。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,35.1208,4.4571,28.6099
single_factor,趋势过滤组,G2_A,降低最低候选阈值,用更低的正式候选阈值测试当前系统是不是太难形成目标组合。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,34.5789,4.4007,28.1581
single_factor,趋势过滤组,G2_B,提高最低候选阈值,用更高的正式候选阈值验证当前无交易是否来自严格的候选层过滤。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,35.771,4.5656,29.102
single_factor,通道A/B组,G3_A,回撤反弹优先,扩大回撤区间、抬高突破门槛，测试回调买入是否更适合当前区间。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,36.5938,4.6411,29.8118
single_factor,通道A/B组,G3_B,强趋势突破优先,缩窄回撤区间、降低突破门槛，测试强势突破是否能更快形成可执行仓位。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,36.1233,4.5896,29.4196
single_factor,相对强弱组,G4_A,强化相对强弱,更强调 relative_strength_10d，观察系统是否更容易抓到同类龙头。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,36.3192,4.6267,29.5548
single_factor,相对强弱组,G4_B,弱化相对强弱,降低 relative_strength_10d 的影响，观察系统是否更稳但更慢。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,35.5739,4.5283,28.9601
single_factor,风险控制组,G5_A,强化低波低回撤过滤,更强调低波和低回撤，验证是否能减少短周期噪音开仓。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,34.7582,4.4043,28.3182
single_factor,风险控制组,G5_B,放松低波低回撤过滤,减弱低波和低回撤过滤，观察当前系统是否因为风控过强而长期空仓。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,35.834,4.5682,29.166
single_factor,REDUCE组,G6_A,轻减仓,趋势转弱时只减到 70%，测试是否能保留更多趋势延续收益。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,34.3289,4.3682,27.8257
single_factor,REDUCE组,G6_B,重减仓,趋势转弱时只保留 30%，测试是否能更快控制回撤。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,36.6318,4.6386,29.8345
single_factor,交易摩擦组,G7_A,低交易摩擦,降低滑点和执行成本，判断策略是否主要被摩擦成本吞掉。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,35.3482,4.4758,28.8065
single_factor,交易摩擦组,G7_B,高交易摩擦,抬高滑点和执行成本，验证收益是否对交易摩擦高度敏感。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,37.0067,4.7056,30.1373
single_factor,替换与保护组,G8_A,加快换仓,降低替换阈值和最短持有期，观察是否能更快切到新龙头。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,36.2876,4.6033,29.5588
single_factor,替换与保护组,G8_B,增强保护,提高替换阈值和最短持有期，观察是否能减少频繁切换。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,34.9636,4.4427,28.4779
single_factor,仓位组,G9_A,更集中,提高单票上限并降低最小正式持仓权重，测试 4000 小资金是否更容易形成有效仓位。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,36.9019,4.7136,30.0208
single_factor,仓位组,G9_B,更分散,降低单票上限并提高最小正式持仓权重，观察是否进一步压缩可执行信号。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,34.0734,4.337,27.7362
single_factor,货币ETF防守切换组,G10_A,机会成本优先,更强调外部机会成本，测试货币 ETF 是否会更早让位给进攻仓。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,35.8565,4.5537,29.203
single_factor,货币ETF防守切换组,G10_B,市场切换优先,更强调整体市场切换，测试货币 ETF 是否更愿意等待环境确认。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,36.1224,4.5774,29.4372
single_factor,time_decay对照组,G11_A,去掉 time_decay,验证 time_decay 对当前短周期滚动复利框架是否有必要。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,37.3854,4.7556,30.4394
single_factor,time_decay对照组,G11_B,强化 time_decay,提高各进攻类别的 time_decay，测试持有时长是否会显著推高退出频率。,0.0,0.0,0.0,0,0,0,0,0,0.0,4000.0,0.0,37.6478,4.774,30.6705
