date,total_asset,cash_balance,market_value,position_pct,cumulative_return_pct,action_code,action_label,summary_text,quality_status,blocking_reasons,warning_reasons,winning_category,selected_symbol,selected_name
2025-11-11,1000.0,1000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-12,1000.0,1000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-13,1000.0,1000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-14,1000.0,1000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-17,1000.0,1000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-18,1000.0,1000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-19,1000.0,1000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],gold_etf,,
2025-11-20,1000.0,1000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],gold_etf,,
2025-11-21,999.95,941.45,58.5,5.85,-0.0,buy_open,开仓买入,债券ETF 先赢出，十年国债ETF 在 中期轮动 的建仓阶段决策分最高，并进入目标组合，建议开仓买入。 主推荐 十年国债ETF 因一手门槛暂不可执行，回测改用买得起的次优替代 酒ETF。这个替代只用于回测，不影响线上正式建议。,weak,[],['存在需要谨慎解释的数据标的：515790。'],bond_etf,512690,酒ETF
2025-11-24,999.55,941.45,58.1,5.81,-0.05,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],bond_etf,,
2025-11-25,999.65,941.45,58.2,5.82,-0.04,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-26,999.6,999.6,0.0,0.0,-0.04,reduce,减仓,酒ETF 当前权重高于目标组合要求，且退出分走高，建议减仓。,weak,[],['存在需要谨慎解释的数据标的：515790。'],stock_etf,512690,酒ETF
2025-11-27,999.6,999.6,0.0,0.0,-0.04,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-28,999.6,999.6,0.0,0.0,-0.04,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2025-12-01,999.6,999.6,0.0,0.0,-0.04,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],gold_etf,,
2025-12-02,999.6,999.6,0.0,0.0,-0.04,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],gold_etf,,
2025-12-03,999.6,999.6,0.0,0.0,-0.04,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2025-12-04,999.6,999.6,0.0,0.0,-0.04,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2025-12-05,999.6,999.6,0.0,0.0,-0.04,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
