executed_at,symbol,name,side,quantity,price,amount,fee,realized_pnl,action_code,note,source
2025-11-21T14:50:00,512690,酒ETF,buy,100.0,0.5852,58.52,0.03,0.0,buy_open,主推荐 十年国债ETF 因一手门槛暂不可执行，回测改用买得起的次优替代 酒ETF。这个替代只用于回测，不影响线上正式建议。,backtest
2025-11-26T14:50:00,512690,酒ETF,sell,100.0,0.5818,58.18,0.03,-0.4,reduce,当前目标仓位已经降到接近零，且退出压力抬升，先减仓退出这只持仓。,backtest
2026-02-02T14:50:00,512690,酒ETF,buy,100.0,0.5492,54.92,0.03,0.0,buy_open,主推荐 十年国债ETF 因一手门槛暂不可执行，回测改用买得起的次优替代 酒ETF。这个替代只用于回测，不影响线上正式建议。,backtest
2026-02-03T14:50:00,512690,酒ETF,sell,100.0,0.5508,55.08,0.03,0.1,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
2026-02-06T14:50:00,512690,酒ETF,buy,100.0,0.5542,55.42,0.03,0.0,buy_open,主推荐 十年国债ETF 因一手门槛暂不可执行，回测改用买得起的次优替代 酒ETF。这个替代只用于回测，不影响线上正式建议。,backtest
2026-02-09T14:50:00,512690,酒ETF,sell,100.0,0.5538,55.38,0.03,-0.1,reduce,当前目标仓位已经降到接近零，且退出压力抬升，先减仓退出这只持仓。,backtest
2026-02-10T14:50:00,510300,沪深300ETF,buy,100.0,4.7344,473.44,0.24,0.0,buy_open,主推荐 十年国债ETF 因一手门槛暂不可执行，回测改用买得起的次优替代 沪深300ETF。这个替代只用于回测，不影响线上正式建议。,backtest
2026-02-11T14:50:00,510300,沪深300ETF,sell,100.0,4.7216,472.16,0.24,-1.76,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
2026-02-12T14:50:00,510300,沪深300ETF,buy,100.0,4.7284,472.84,0.24,0.0,buy_open,主推荐 十年国债ETF 因一手门槛暂不可执行，回测改用买得起的次优替代 沪深300ETF。这个替代只用于回测，不影响线上正式建议。,backtest
2026-02-13T14:50:00,510300,沪深300ETF,sell,100.0,4.6696,466.96,0.23,-6.35,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
2026-03-04T14:50:00,510300,沪深300ETF,buy,100.0,4.6114,461.14,0.23,0.0,buy_open,主推荐 国债ETF 因一手门槛暂不可执行，回测改用买得起的次优替代 沪深300ETF。这个替代只用于回测，不影响线上正式建议。,backtest
2026-03-05T14:50:00,510300,沪深300ETF,sell,100.0,4.6526,465.26,0.23,3.66,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
