date,total_asset,cash_balance,market_value,position_pct,cumulative_return_pct,action_code,action_label,summary_text,quality_status,blocking_reasons,warning_reasons,winning_category,selected_symbol,selected_name
2025-11-11,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-12,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-13,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-14,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-17,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-18,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-19,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-20,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-21,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
2025-11-24,100000.0,100000.0,0.0,0.0,0.0,no_trade,暂不交易,"当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。",blocked,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']","['存在需要谨慎解释的数据标的：159915, 159949, 510300, 510500, 511010, 511260, 511990, 512100, 512480, 512660, 512690, 513060, 513100, 513500, 515790, 518880, 588000。']",,,
